danceability,duration_ms,energy,genre,loudness,tempo
0.618,378750,0.851,house,-4.705,127.99799999999999
0.638,389538,0.9940000000000001,house,-2.888,130.018
0.434,221785,0.6409999999999999,house,-8.658999999999999,126.978
0.605,200787,0.92,house,-2.298,174.97400000000002
0.6409999999999999,300040,0.765,house,-8.152999999999999,127.99
0.855,531985,0.6,house,-8.142000000000001,127.98700000000001
0.607,217080,0.74,house,-3.116,127.955
0.42,205200,0.863,house,-3.135,184.262
0.7020000000000001,388029,0.5489999999999999,house,-8.507,128.007
0.7390000000000001,346885,0.8320000000000001,house,-4.51,128.03799999999998
0.647,289568,0.935,house,-3.721,126.98100000000001
0.32299999999999995,251649,0.8390000000000001,house,-4.592,120.19
0.665,257267,0.7,house,-4.946000000000001,121.961
0.5870000000000001,204053,0.965,house,-4.106,129.972
0.6579999999999999,396133,0.7340000000000001,house,-6.1160000000000005,128.0
0.821,195747,0.688,house,-7.398,122.005
0.514,262240,0.524,house,-7.607,193.916
0.764,423750,0.878,house,-4.376,127.984
0.7190000000000001,196173,0.929,house,-4.238,127.03399999999999
0.526,226359,0.898,house,-4.337,173.94799999999998
0.588,231493,0.868,house,-5.417999999999999,127.932
0.748,220779,0.685,house,-4.39,125.041
0.624,339018,0.862,house,-4.1739999999999995,127.992
0.624,233688,0.889,house,-3.772,127.01899999999999
0.586,195707,0.706,house,-3.673,127.961
0.6409999999999999,423790,0.9159999999999999,house,-6.683,128.013
0.718,379693,0.496,house,-6.7379999999999995,128.024
0.9129999999999999,241875,0.7859999999999999,house,-4.629,127.973
0.522,183121,0.934,house,-5.459,125.955
0.682,279385,0.698,house,-5.678999999999999,128.058
0.644,339492,0.973,house,-4.343999999999999,127.999
0.625,256607,0.9179999999999999,house,-4.708,129.991
0.604,244507,0.888,house,-3.282,128.032
0.684,205161,0.789,house,-6.888999999999999,123.98899999999999
0.687,228200,0.866,house,-4.346,127.001
0.7859999999999999,444141,0.42700000000000005,house,-8.015,128.005
0.546,219653,0.887,house,-4.694,125.98299999999999
0.657,306586,0.618,house,-7.44,128.015
0.491,176253,0.878,house,-2.925,128.001
0.778,193467,0.615,house,-6.529,120.045
0.7879999999999999,360191,0.893,house,-5.332999999999999,128.016
0.5670000000000001,214912,0.813,house,-5.744,126.044
0.828,269147,0.755,house,-4.1160000000000005,108.056
0.779,314625,0.899,house,-6.649,130.025
0.266,227880,0.95,house,-5.646,127.986
0.51,192288,0.895,house,-6.936,126.991
