,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,title,track_href,type,uri,valence
3772,0.026,https://api.spotify.com/v1/audio-analysis/10Sydb6AAFPdgCzCKOSZuI,Pitbull,0.638,244920,0.91,house,10Sydb6AAFPdgCzCKOSZuI,0.0,0,0.092,-4.737,1,0.426,129.131,4,Have Some Fun,https://api.spotify.com/v1/tracks/10Sydb6AAFPdgCzCKOSZuI,audio_features,spotify:track:10Sydb6AAFPdgCzCKOSZuI,0.463
3773,0.163,https://api.spotify.com/v1/audio-analysis/4k61iDqmtX9nI7RfLmp9aq,Pitbull,0.71,206800,0.836,house,4k61iDqmtX9nI7RfLmp9aq,0.0,0,0.238,-3.567,0,0.0346,95.017,4,Outta Nowhere,https://api.spotify.com/v1/tracks/4k61iDqmtX9nI7RfLmp9aq,audio_features,spotify:track:4k61iDqmtX9nI7RfLmp9aq,0.615
3774,0.0175,https://api.spotify.com/v1/audio-analysis/7oGRkL31ElVMcevQDceT99,Pitbull,0.638,205800,0.809,house,7oGRkL31ElVMcevQDceT99,0.0,8,0.0975,-5.418,1,0.114,126.072,4,Tchu Tchu Tcha,https://api.spotify.com/v1/tracks/7oGRkL31ElVMcevQDceT99,audio_features,spotify:track:7oGRkL31ElVMcevQDceT99,0.44
3775,0.11,https://api.spotify.com/v1/audio-analysis/60xPqMqnHZl7Jfiu6E9q8X,Pitbull,0.639,219600,0.649,house,60xPqMqnHZl7Jfiu6E9q8X,0.0,10,0.118,-5.086,0,0.119,127.989,4,Last Night,https://api.spotify.com/v1/tracks/60xPqMqnHZl7Jfiu6E9q8X,audio_features,spotify:track:60xPqMqnHZl7Jfiu6E9q8X,0.669
3776,0.134,https://api.spotify.com/v1/audio-analysis/1jAdXqOSICyXYLaW9ioSur,Pitbull,0.832,197520,0.976,house,1jAdXqOSICyXYLaW9ioSur,0.0,6,0.345,-3.851,0,0.272,139.97,4,I'm Off That,https://api.spotify.com/v1/tracks/1jAdXqOSICyXYLaW9ioSur,audio_features,spotify:track:1jAdXqOSICyXYLaW9ioSur,0.524
3777,0.0597,https://api.spotify.com/v1/audio-analysis/0fjRYHFz9ealui1lfnN8it,Pitbull,0.464,196440,0.842,house,0fjRYHFz9ealui1lfnN8it,0.0,10,0.037,-3.64,1,0.269,89.759,3,Echa Pa'lla (Manos Pa'rriba),https://api.spotify.com/v1/tracks/0fjRYHFz9ealui1lfnN8it,audio_features,spotify:track:0fjRYHFz9ealui1lfnN8it,0.957
3778,0.0601,https://api.spotify.com/v1/audio-analysis/7of35ktwTbL906Z1i3mT4K,Pitbull,0.749,257613,0.916,house,7of35ktwTbL906Z1i3mT4K,0.0,8,0.54,-4.749,0,0.101,128.056,4,Everybody Fucks,https://api.spotify.com/v1/tracks/7of35ktwTbL906Z1i3mT4K,audio_features,spotify:track:7of35ktwTbL906Z1i3mT4K,0.93
3779,0.0668,https://api.spotify.com/v1/audio-analysis/2JA6A6Y5f4m7PawM58U2Op,Pitbull,0.693,245920,0.849,house,2JA6A6Y5f4m7PawM58U2Op,0.0,1,0.69,-3.259,0,0.189,128.971,4,Get It Started,https://api.spotify.com/v1/tracks/2JA6A6Y5f4m7PawM58U2Op,audio_features,spotify:track:2JA6A6Y5f4m7PawM58U2Op,0.599
3780,0.0894,https://api.spotify.com/v1/audio-analysis/726qZxwhP0jVyIA0ujnnhb,Pitbull,0.734,217680,0.886,house,726qZxwhP0jVyIA0ujnnhb,0.0,0,0.369,-4.909,1,0.105,134.436,4,11:59,https://api.spotify.com/v1/tracks/726qZxwhP0jVyIA0ujnnhb,audio_features,spotify:track:726qZxwhP0jVyIA0ujnnhb,0.611
3781,0.0434,https://api.spotify.com/v1/audio-analysis/6GPER1Sx8MrBiwWxdulg5Q,Pitbull,0.575,316480,0.78,house,6GPER1Sx8MrBiwWxdulg5Q,2.91e-06,0,0.0666,-1.726,1,0.276,129.917,4,Rain Over Me - Benny Benassi Remix,https://api.spotify.com/v1/tracks/6GPER1Sx8MrBiwWxdulg5Q,audio_features,spotify:track:6GPER1Sx8MrBiwWxdulg5Q,0.263
3782,0.0661,https://api.spotify.com/v1/audio-analysis/4TWgcICXXfGty8MHGWJ4Ne,Pitbull,0.741,309627,0.635,house,4TWgcICXXfGty8MHGWJ4Ne,2.64e-06,0,0.609,-4.799,1,0.0675,127.04,4,International Love - Jump Smokers Extended Mix,https://api.spotify.com/v1/tracks/4TWgcICXXfGty8MHGWJ4Ne,audio_features,spotify:track:4TWgcICXXfGty8MHGWJ4Ne,0.621
3783,0.407,https://api.spotify.com/v1/audio-analysis/5k3LD7YYDR0VSnnnLyiweo,Nicki Minaj,0.65,305933,0.823,house,5k3LD7YYDR0VSnnnLyiweo,0.0,8,0.0622,-2.238,0,0.0669,132.004,4,Up In Flames,https://api.spotify.com/v1/tracks/5k3LD7YYDR0VSnnnLyiweo,audio_features,spotify:track:5k3LD7YYDR0VSnnnLyiweo,0.151
3784,0.0826,https://api.spotify.com/v1/audio-analysis/3UQtLqO11WXsKngQuLS9ed,Nicki Minaj,0.552,287440,0.687,house,3UQtLqO11WXsKngQuLS9ed,0.0,1,0.123,-5.673,1,0.271,180.126,4,Freedom,https://api.spotify.com/v1/tracks/3UQtLqO11WXsKngQuLS9ed,audio_features,spotify:track:3UQtLqO11WXsKngQuLS9ed,0.341
3785,0.046,https://api.spotify.com/v1/audio-analysis/0cXKGzMAGPDLWTnpbV5pij,Nicki Minaj,0.379,251027,0.952,house,0cXKGzMAGPDLWTnpbV5pij,0.0,0,0.958,-3.925,1,0.43,109.054,4,Hell Yeah,https://api.spotify.com/v1/tracks/0cXKGzMAGPDLWTnpbV5pij,audio_features,spotify:track:0cXKGzMAGPDLWTnpbV5pij,0.662
3786,0.135,https://api.spotify.com/v1/audio-analysis/3UrNOHCzVxX2KZbNcKQAyu,Nicki Minaj,0.531,218747,0.683,house,3UrNOHCzVxX2KZbNcKQAyu,0.00265,1,0.22,-4.093,0,0.333,84.817,4,High School,https://api.spotify.com/v1/tracks/3UrNOHCzVxX2KZbNcKQAyu,audio_features,spotify:track:3UrNOHCzVxX2KZbNcKQAyu,0.212
3787,0.0301,https://api.spotify.com/v1/audio-analysis/5VH29X65xVLfH2TwD9EcxO,Nicki Minaj,0.859,198053,0.746,house,5VH29X65xVLfH2TwD9EcxO,0.000877,9,0.169,-3.014,1,0.0663,75.002,4,I'm Legit,https://api.spotify.com/v1/tracks/5VH29X65xVLfH2TwD9EcxO,audio_features,spotify:track:5VH29X65xVLfH2TwD9EcxO,0.543
3788,0.129,https://api.spotify.com/v1/audio-analysis/5EPvKTdqjN4OMlrQf6t5Wp,Nicki Minaj,0.865,262533,0.821,house,5EPvKTdqjN4OMlrQf6t5Wp,0.0,7,0.0611,-5.164,1,0.215,147.998,4,I Endorse These Strippers,https://api.spotify.com/v1/tracks/5EPvKTdqjN4OMlrQf6t5Wp,audio_features,spotify:track:5EPvKTdqjN4OMlrQf6t5Wp,0.744
3789,0.0437,https://api.spotify.com/v1/audio-analysis/1I9yF0q9snr3VYVfqIVWt1,Nicki Minaj,0.835,248933,0.806,house,1I9yF0q9snr3VYVfqIVWt1,0.000807,1,0.142,-5.73,1,0.0504,108.974,4,The Boys,https://api.spotify.com/v1/tracks/1I9yF0q9snr3VYVfqIVWt1,audio_features,spotify:track:1I9yF0q9snr3VYVfqIVWt1,0.392
3790,0.0659,https://api.spotify.com/v1/audio-analysis/2TLU9crGyk56PhgQTWuTvt,Nicki Minaj,0.647,182280,0.807,house,2TLU9crGyk56PhgQTWuTvt,0.0049,8,0.237,-3.802,1,0.0317,126.88,4,Va Va Voom,https://api.spotify.com/v1/tracks/2TLU9crGyk56PhgQTWuTvt,audio_features,spotify:track:2TLU9crGyk56PhgQTWuTvt,0.696
3791,0.0304,https://api.spotify.com/v1/audio-analysis/2G6YX2y6jI8lgU4GmysthT,Nicki Minaj,0.8,245693,0.742,house,2G6YX2y6jI8lgU4GmysthT,7.74e-05,1,0.162,-6.186,1,0.0967,128.079,4,Roman Holiday,https://api.spotify.com/v1/tracks/2G6YX2y6jI8lgU4GmysthT,audio_features,spotify:track:2G6YX2y6jI8lgU4GmysthT,0.402
3792,0.342,https://api.spotify.com/v1/audio-analysis/2v5sitlzPeI2hdZeMMxtqk,Nicki Minaj,0.732,185293,0.824,house,2v5sitlzPeI2hdZeMMxtqk,0.0,6,0.239,-4.406,0,0.209,154.061,4,Come On A Cone,https://api.spotify.com/v1/tracks/2v5sitlzPeI2hdZeMMxtqk,audio_features,spotify:track:2v5sitlzPeI2hdZeMMxtqk,0.732
3793,0.307,https://api.spotify.com/v1/audio-analysis/1pmaNc1vjYFARzU57BCUD3,Nicki Minaj,0.745,213733,0.566,house,1pmaNc1vjYFARzU57BCUD3,0.0,7,0.0942,-6.393,1,0.364,81.955,4,I Am Your Leader,https://api.spotify.com/v1/tracks/1pmaNc1vjYFARzU57BCUD3,audio_features,spotify:track:1pmaNc1vjYFARzU57BCUD3,0.744
3794,0.0227,https://api.spotify.com/v1/audio-analysis/2epGMZt9GFdH1etwMbQcFm,Nicki Minaj,0.814,268480,0.782,house,2epGMZt9GFdH1etwMbQcFm,0.00167,9,0.0956,-6.005,1,0.218,150.011,4,Beez In The Trap,https://api.spotify.com/v1/tracks/2epGMZt9GFdH1etwMbQcFm,audio_features,spotify:track:2epGMZt9GFdH1etwMbQcFm,0.683
3795,0.25,https://api.spotify.com/v1/audio-analysis/0H9nWAb0Y3ZxRjGN75MbYH,Nicki Minaj,0.835,193493,0.784,house,0H9nWAb0Y3ZxRjGN75MbYH,0.0,1,0.0711,-6.016,1,0.292,81.054,4,HOV Lane,https://api.spotify.com/v1/tracks/0H9nWAb0Y3ZxRjGN75MbYH,audio_features,spotify:track:0H9nWAb0Y3ZxRjGN75MbYH,0.454
3796,0.171,https://api.spotify.com/v1/audio-analysis/5iGHXBSUbC4F0tW2cC8BKk,Nicki Minaj,0.715,196787,0.766,house,5iGHXBSUbC4F0tW2cC8BKk,0.0,10,0.373,-6.36,0,0.381,169.761,4,Roman Reloaded,https://api.spotify.com/v1/tracks/5iGHXBSUbC4F0tW2cC8BKk,audio_features,spotify:track:5iGHXBSUbC4F0tW2cC8BKk,0.77
3797,0.00584,https://api.spotify.com/v1/audio-analysis/4wBItt9hMHTmPiZVF7xDaT,Nicki Minaj,0.469,296040,0.69,house,4wBItt9hMHTmPiZVF7xDaT,0.0,1,0.455,-4.758,1,0.0357,164.094,4,Champion,https://api.spotify.com/v1/tracks/4wBItt9hMHTmPiZVF7xDaT,audio_features,spotify:track:4wBItt9hMHTmPiZVF7xDaT,0.0493
3798,0.0178,https://api.spotify.com/v1/audio-analysis/2FT7qhRvlcxwoCDolS56qH,Nicki Minaj,0.569,265320,0.858,house,2FT7qhRvlcxwoCDolS56qH,0.0,1,0.126,-4.831,1,0.268,161.921,4,Right By My Side,https://api.spotify.com/v1/tracks/2FT7qhRvlcxwoCDolS56qH,audio_features,spotify:track:2FT7qhRvlcxwoCDolS56qH,0.495
3799,0.326,https://api.spotify.com/v1/audio-analysis/2bVMvPh1AxmYFnN2IciSmA,Nicki Minaj,0.731,207787,0.712,house,2bVMvPh1AxmYFnN2IciSmA,0.0,9,0.125,-6.874,0,0.046,132.905,4,Sex In The Lounge,https://api.spotify.com/v1/tracks/2bVMvPh1AxmYFnN2IciSmA,audio_features,spotify:track:2bVMvPh1AxmYFnN2IciSmA,0.722
3800,0.135,https://api.spotify.com/v1/audio-analysis/2EBCVPNAG46nbgs6jXPGvv,Nicki Minaj,0.747,210627,0.716,house,2EBCVPNAG46nbgs6jXPGvv,0.0,11,0.251,-2.457,0,0.075,125.008,4,Starships,https://api.spotify.com/v1/tracks/2EBCVPNAG46nbgs6jXPGvv,audio_features,spotify:track:2EBCVPNAG46nbgs6jXPGvv,0.751
3801,0.0403,https://api.spotify.com/v1/audio-analysis/5lGvoadO0urY0Ew8kYUc05,Nicki Minaj,0.728,205640,0.858,house,5lGvoadO0urY0Ew8kYUc05,4.26e-06,9,0.0241,-3.686,1,0.0609,125.054,4,Pound The Alarm,https://api.spotify.com/v1/tracks/5lGvoadO0urY0Ew8kYUc05,audio_features,spotify:track:5lGvoadO0urY0Ew8kYUc05,0.591
3802,0.0424,https://api.spotify.com/v1/audio-analysis/2SjzgpxHIk5w37m9C8OLI6,Nicki Minaj,0.775,195813,0.772,house,2SjzgpxHIk5w37m9C8OLI6,0.000115,6,0.364,-5.259,1,0.189,128.04,4,Whip It,https://api.spotify.com/v1/tracks/2SjzgpxHIk5w37m9C8OLI6,audio_features,spotify:track:2SjzgpxHIk5w37m9C8OLI6,0.796
